"","yearmon","max_temp","incidents","assaults","robbery","prepcip","mean_temp","cool_deg_days","heat_deg_days","min_temp","morn_inc","aft_inc","eve_inc","nuit_inc"
"1",Jan 2014,-3.2456587576983,1535,1275,260,1.31989677658885,-7.04320854701216,0,1227.68064516129,-10.8123288052512,286,230,436,1535
"2",Feb 2014,-3.01040054104259,1437,1162,275,1.99635710577708,-6.22407239437623,0,1224.60714285714,-9.39709150983593,280,220,485,1437
"3",Mar 2014,1.28288283213661,1503,1215,288,0.834665541872567,-2.84477453068177,0,1027.8064516129,-6.95633579305162,331,214,462,1503
"4",Apr 2014,10.7076200278425,1519,1233,286,3.39905111057188,6.67414016636567,0,569.963333333333,2.63766245985728,307,208,528,1519
"5",May 2014,18.5678695560993,1853,1490,363,1.5299207930902,14.3374145303453,0.357550746789989,234.335483870968,10.0715079987915,365,295,561,1853
"6",Jun 2014,24.3364131615318,1832,1548,284,3.21008087131419,20.0519186011672,2.32674761380068,17.29,15.6955939740189,387,259,557,1832
"7",Jul 2014,24.9135660970781,1674,1369,305,2.69537922267476,20.4755949351843,2.55764420185002,4.53548387096774,15.9910737741465,389,227,448,1674
"8",Aug 2014,24.4931919096212,1714,1474,240,0.419898578979955,20.5501164366826,2.70815406723249,7.31290322580645,16.6547222527061,447,227,436,1714
"9",Sep 2014,21.4933710463605,1825,1482,343,2.91986819623936,17.1481594527738,1.04076522664783,104.553333333333,12.7597343092334,360,266,547,1825
"10",Oct 2014,14.9190542828573,1810,1396,414,2.35864684160304,11.4417237122379,0.0339784946236559,385.629032258065,7.90979855604233,384,258,538,1810
"11",Nov 2014,5.85744345994693,1704,1422,282,1.42330681756437,2.71491815629422,0,864.806666666667,-0.388168497482974,343,287,491,1704
"12",Dec 2014,3.20334885731938,1575,1329,246,1.18256236235019,0.85490553687507,0,870.014516129032,-1.55323984352487,406,216,433,1575
"13",Jan 2015,-2.17557211162504,1679,1393,286,1.08071979218727,-6.16673902589522,0,1281.59032258065,-10.0480834950513,348,253,460,1679
"14",Feb 2015,-7.01094051486984,1412,1215,197,0.990861499928811,-11.0676922772133,0,1462.16785714286,-15.0963343972568,292,208,451,1412
"15",Mar 2015,2.94944634776928,1559,1294,265,0.520885305350501,-0.838122696163232,0,950.058064516129,-4.61162840564047,312,251,492,1559
"16",Apr 2015,12.375488239857,1715,1435,280,2.56248687487448,7.97824686985227,0,563.98,3.51366160275527,372,253,536,1715
"17",May 2015,21.0183217565501,1949,1632,317,1.48768263243714,15.8999210455059,0.751296926534415,170.116129032258,10.7054504040781,473,298,615,1949
"18",Jun 2015,21.8470819200553,1825,1538,287,5.90454413357672,17.9463757769407,1.08589330239258,72.4433333333333,13.9947867229156,438,263,539,1825
"19",Jul 2015,26.4634169175086,1915,1628,287,0.56352904122076,21.6965380559502,3.76952217795743,4.18064516129032,16.882577476279,435,257,505,1915
"20",Aug 2015,25.0333572279729,1836,1512,324,1.16281258152639,20.9173437227555,2.96703180376637,2.92258064516129,16.7451753303762,479,240,482,1836
"21",Sep 2015,24.078954151806,1835,1547,288,1.90592196114186,19.9021132119904,2.68953921628294,49.0866666666667,15.6711355963191,417,260,558,1835
"22",Oct 2015,14.3308037965064,1847,1541,306,2.94156579211515,10.7133327413232,0.0196856906534326,445.409677419355,7.03763077349398,392,275,531,1847
"23",Nov 2015,10.8462403411595,1841,1524,317,0.966999930301106,7.3017740506269,0,638.046666666667,3.89238350051546,366,278,548,1841
"24",Dec 2015,7.54968257771268,1789,1479,310,1.43815122004817,5.05045033804289,0,747.535483870968,2.50256755875394,394,277,465,1789
"25",Jan 2016,0.946873458579791,1727,1467,260,1.1646639566378,-2.34799450103764,0,1118.23548387097,-5.56689783227896,357,266,512,1727
"26",Feb 2016,2.64152418566405,1646,1358,288,0.497453541118467,-1.25306884889549,0,1070.55172413793,-5.15415283287554,336,253,501,1646
"27",Mar 2016,6.83401867218303,1783,1524,259,2.30402949416628,3.36637025778039,0,843.209677419355,-0.121347987779336,373,287,551,1783
"28",Apr 2016,9.49945879051809,1843,1538,305,0.983363033081157,6.00098302434275,0,718.786666666667,2.17645055292071,357,275,561,1843
"29",May 2016,20.1399815106281,1964,1656,308,0.79492804765841,15.2979017837224,1.29256241749752,240.725806451613,10.4048133555539,385,305,570,1964
"30",Jun 2016,25.3064968251974,1944,1624,320,1.24819318826536,19.8308219135017,2.54604025233744,43.4866666666667,14.4129324424796,394,293,531,1944
"31",Jul 2016,28.6548081618079,2006,1646,360,1.65268082905569,23.5777225344052,5.5779990321011,0.0193548387096774,18.4623391741123,497,261,517,2006
"32",Aug 2016,28.8908115685747,1869,1548,321,1.67631537662078,24.2205606155819,6.2205606155819,0,19.6488849026092,397,257,509,1869
"33",Sep 2016,24.0461631181896,1881,1611,270,2.10584798123351,19.7533919408025,2.3363118708609,35.8166666666667,15.4776603999485,408,282,565,1881
